StudyArea,AnimalID,Sex
RICC,W004R,M
RICC,W005R,M
RICC,W026D,F
RICC,W027D,M
RICC,W027D,F
RICC,W002D,F
RICC,W020F,F
RICC,W022F,M
RICC,W003D,M
RICC,W007D,M
RICC,W015D,F
RICC,W021F,M
RICC,W023D,M
RICC,W006F,M
RICC,W014D,F
RICC,W021D,M
RICC,W022D,M
RICC,W017D,F
RICC,W019D,F
RICC,W004F,F
RICC,W001C,F
RICC,W001R,F
RICC,W018F,M
RICC,W023F,M
RICC,W003R,F
RICC,W012D,M
RICC,W016D,M
RICC,W030D,M
RICC,W031D,M
RICC,W032D,F
RICC,W002R,F
RICC,W011D,F
RICC,W011F,F
RICC,W015F,F
RICC,W016F,M
RICC,W017F,M
RICC,W024F,M
RICC,W018D,M
RICC,W020D,F
RICC,W012F,F
RICC,W004D,M
RICC,W005D,F
RICC,W010F,F
RICC,W013D,F
RICC,W013F,F
RICC,W009D,M
RICC,W010D,M
RICC,W024D,M
RICC,W025D,F
RICC,W028D,M
RICC,W029D,M
RICC,W002C,F
RICC,W006D,M
RICC,W008D,F
RICC,W033D,F
RICC,W003F,M
BC,BW001,M
BC,BW002,M
BC,BW003,M
BC,BW004,M
BC,BW005,M
BC,BW006,M
BC,BW007,M
BC,BW008,M
BC,BW009,F
BC,BW010,M
BC,BW011,F
BC,BW012,F
BC,BW013,F
BC,BW014,M
BC,BW015,F
BC,BW016,F
BC,BW016B,F
BC,BW017,M
BC,BW018,F
BC,BW019,M
BC,BW020,M
BC,BW021,M
BC,BW022,F
BC,BW023,M
BC,BW024,M
BC,BW024B,M
BC,BW025,M
BC,BW026,F
BC,BW027,M
BC,BW028,M
BC,BW029,F
BC,BW030,F
BC,BW031,F
BC,BW032,F
BC,BW033,M
BC,BW034,M
BC,BW035,M
BC,BW036,M
BC,BW037,F
BC,BW038,F
BC,BW038B,F
BC,BW039,M
BC,BW040,M
BC,BW041,F
BC,BW042,M
BC,BW043,M
BC,BW044,F
BC,BW045,F
BC,BW046,M
BC,BW047,M
BC,BW048,M
BC,BW049,F
BC,BW050,F
BC,BW051,M
BC,BW052,F
BC,BW053,M
WHEC,13790,Unknown
WHEC,13791,Unknown
WHEC,13792,Unknown
WHEC,13793,Unknown
WHEC,13794,Unknown
WHEC,15007,Unknown
WHEC,15008,Unknown
WHEC,15009,Unknown
WHEC,15010,Unknown
WHEC,15011,Unknown
WHEC,32251,M
WHEC,32252,M
WHEC,32253,M
WHEC,32254,Unknown
WHEC,32254,Unknown
WHEC,32254,Unknown
WHEC,32255,F
WHEC,32256,F
WHEC,32257,M
WHEC,32257,Unknown
WHEC,32257,Unknown
WHEC,32258,F
WHEC,32259,M
WHEC,32260,F
WHEC,32261,M
WHEC,32261,Unknown
WHEC,32262,F
WHEC,32263,F
WHEC,32263,Unknown
WHEC,32263,Unknown
WHEC,32264,F
WHEC,32265,M
WHEC,32266,F
WHEC,32267,M
WHEC,32268,M
WHEC,32269,F
WHEC,32270,M
WHEC,33667,M
WHEC,33668,M
WHEC,33669,F
WHEC,33670,Unknown
WHEC,33671,M
WHEC,33672,M
WHEC,33673,f
WHEC,33674,M
WHEC,33675,Unknown
WHEC,33676,Unknown
WHEC,33676,Unknown
WHEC,33677,F
WHEC,33678,F
WHEC,33678,Unknown
WHEC,33678,Unknown
WHEC,33679,M
WHEC,33680,F
WHEC,33681,F
WHEC,35260,Unknown
WHEC,35261,Unknown
WHEC,35262,Unknown
WHEC,35263,Unknown
WHEC,35264,Unknown
SK,140001,M
SK,140002,M
SK,140003,F
SK,140004,F
SK,140005,F
SK,140006,F
SK,140007,F
SK,140008,M
SK,140009,M
SK,140010,M
SK,140011,M
SK,140012,M
SK,140014,F
SK,140015,F
SK,140016,Unknown
SK,140017,F
SK,140018,F
SK,140019,M
SK,140020,M
SK,140021,M
SK,140022,F
SK,140023,F
SK,140024,M
SK,140025,F
SK,140026,Unknown
SK,140027,F
SK,140028,M
SK,140029,M
SK,140030,M
SK,140031,F
SK,140032,F
SK,140035,M
SK,140036,F
SK,140037,F
SK,140038,F
SK,140039,F
