"","StudyArea","PackID","Year","PackSize","PackYear"
"1","BC","Tsimeh",2013,6,"Tsimeh2013"
"2","BC","Big Arrow",2013,6,"Big Arrow2013"
"3","BC","West Clarke",2013,9,"West Clarke2013"
"4","BC","Prophet",2013,NA,"Prophet2013"
"5","BC","Snake",2013,11,"Snake2013"
"6","BC","Elleh",2013,2,"Elleh2013"
"7","BC","Parker",2013,3,"Parker2013"
"8","BC","Kwokullie",2014,4,"Kwokullie2014"
"9","BC","Snake",2014,6,"Snake2014"
"10","BC","Clarke",2014,4,"Clarke2014"
"11","BC","Petitot",2015,6,"Petitot2015"
"12","BC","July",2015,6,"July2015"
"13","BC","Fortune",2015,10,"Fortune2015"
"14","BC","Elleh",2015,7,"Elleh2015"
"15","BC","Tsimeh",2015,12,"Tsimeh2015"
"16","BC","Kwokullie",2016,3,"Kwokullie2016"
"17","BC","Kahntah",2016,3,"Kahntah2016"
"18","RICC","Leismer",2012,2,"Leismer2012"
"19","RICC","Christina",2012,2,"Christina2012"
"20","RICC","Rat",2014,7,"Rat2014"
"21","RICC","Clyde",2012,3,"Clyde2012"
"22","RICC","Philomena",2012,6,"Philomena2012"
"23","RICC","Sucker",NA,2,"SuckerNA"
"24","RICC","SW BAU",NA,2,"SW BAUNA"
"25","RICC","SE BAU",2012,NA,"SE BAU2012"
"26","RICC","TRT",2014,5,"TRT2014"
"27","RICC","SWWinefred",2012,5,"SWWinefred2012"
"28","RICC","EWinefred",2012,6,"EWinefred2012"
"29","RICC","Cowper",2013,6,"Cowper2013"
"30","RICC","Watchusk",2013,3,"Watchusk2013"
"31","RICC","NAT",2012,6,"NAT2012"
"32","RICC","ETRT",2012,5,"ETRT2012"
"33","RICC","Watapi",NA,4,"WatapiNA"
"34","SK","Island Falls",2014,5,"Island Falls2014"
"35","SK","Lost",2014,5,"Lost2014"
"36","SK","Boss",2014,5,"Boss2014"
"37","SK","Brabant",2014,6,"Brabant2014"
"38","SK","Brabant",2015,6,"Brabant2015"
"39","SK","Airport",2014,2,"Airport2014"
"40","SK","Airport",2015,2,"Airport2015"
"41","SK","Narrows",2014,5,"Narrows2014"
"42","SK","Narrows",2015,5,"Narrows2015"
"43","SK","Bridgers",2014,2,"Bridgers2014"
"44","SK","Bridgers",2015,2,"Bridgers2015"
"45","SK","Brabant",2015,7,"Brabant2015"
"46","SK","Brabant",2016,7,"Brabant2016"
"47","SK","Wathaman",2014,4,"Wathaman2014"
"48","SK","Wathaman",2015,4,"Wathaman2015"
"49","SK","Southend",2015,8,"Southend2015"
"50","SK","Mathers",2014,NA,"Mathers2014"
"51","SK","Mathers",2015,NA,"Mathers2015"
"52","SK","Mathers",2016,NA,"Mathers2016"
"53","SK","Wathaman",2014,8,"Wathaman2014"
"54","SK","Long Arm",2014,5,"Long Arm2014"
"55","SK","Long Arm",2015,5,"Long Arm2015"
"56","SK","Split",2014,2,"Split2014"
"57","SK","Split",2015,2,"Split2015"
"58","SK","Boss",2015,5,"Boss2015"
"59","SK","Geikie",2014,6,"Geikie2014"
"60","SK","Geikie",2015,6,"Geikie2015"
"61","SK","Geikie",2016,6,"Geikie2016"
"62","SK","Keyest1",2014,2,"Keyest12014"
"63","SK","Engmann",2014,10,"Engmann2014"
"64","SK","Orphan",2014,3,"Orphan2014"
"65","SK","Orphan",2015,3,"Orphan2015"
"66","SK","Copp",2015,3,"Copp2015"
"67","SK","Southend",2015,2,"Southend2015"
"68","SK","Davin",2015,2,"Davin2015"
"69","SK","Key West2",2015,2,"Key West22015"
"70","SK","Dufferin",2015,9,"Dufferin2015"
"71","SK","Boss",2015,3,"Boss2015"
"72","SK","Peter Lake",2015,2,"Peter Lake2015"
"73","SK","Peter Lake",2016,2,"Peter Lake2016"
"74","SK","Key3",2015,2,"Key32015"
"75","SK","Key3",2016,2,"Key32016"
"76","SK","Dufferin",2016,9,"Dufferin2016"
"77","WHEC","Clearwater",2012,5,"Clearwater2012"
"78","WHEC","Frostbite",2012,9,"Frostbite2012"
"79","WHEC","Grand Rapids",2012,4,"Grand Rapids2012"
"80","WHEC","Horizon",2012,4,"Horizon2012"
"81","WHEC","McKay",2012,4,"McKay2012"
"82","WHEC","McLelland",2012,6,"McLelland2012"
"83","WHEC","North",2012,6,"North2012"
"84","WHEC","South Athabasca",2012,7,"South Athabasca2012"
