,AnimalID,PackID
1,140001,Island Falls
18,140002,Lost
26,140003,Boss
1152,140004,Brabant
6212,140005,Airport
10761,140006,Island Falls
12718,140007,Narrows
16122,140008,Bridgers
20091,140009,Brabant
24406,140010,Wathaman
29076,140011,Airport
29268,140012,Lost
29639,140014,Southend
29864,140015,Mathers
35900,140016,Wathaman
36499,140017,Long Arm
39603,140018,Split
43314,140019,Boss
46148,140020,Geikie
51907,140021,Geikie
54175,140022,Keyest1
54745,140023,Engmann
56855,140024,Keyest1
57040,140025,Geikie
57183,140026,Orphan
58843,140027,Orphan
61468,140028,Copp
62682,140029,Southend
62996,140030,Key West2
65026,140031,Davin
66209,140032,Key West2
66372,140035,Dufferin
66427,140036,Boss
68175,140037,Peter Lake
70720,140038,Key3
73075,140039,Dufferin
110,BW012,Big Arrow
2,BW002,Chinchaga
3,BW020,Parker
4,BW023,Snake-Sahtaneh
5,BW007,Snake-Sahtaneh
6,BW004,Snake-Sahtaneh
7,BW001,Fort Nelson
8,BW038,Clarke
9,BW035,Maxhamish
10,BW049nex,Fortune/Tsea
11,BW013,West Clarke
12,BW018,Elleh
13,BW015,Snake
14,BW008,Tsimeh
15,BW017,Elleh
16,BW003,West Clarke
17,BW019,Parker
181,BW021,Clarke
19,BW011,Big Arrow
20,BW009,Tsimeh
21,BW016,Snake
22,BW006,Snake
23,BW014,Tsimeh
24,BW010,Snake
25,BW025,Kwokullie
261,BW031,Clarke
27,BW030,Clarke
28,BW024,Snake-Sahtaneh
29,BW027,Snake
30,BW029,Clarke
31,BW028,Snake
32,BW005,Prophet
33,BW040,Clarke
34,BW042nex,Calendar
35,BW043nex,Calendar
36,MFLNRO152.550,Unknown
37,BW041,Fortune
38,BW039,Clarke
39,BW044nex,Calendar
40,BW045nex,Calendar
41,BW050,Fortune/Tsea
42,BW047nex,Fortune/Tsea
43,BW046nex,Calendar
44,BW033,Fortune/Tsea
45,BW036,Maxhamish
46,BW051,Fort Nelson
47,BW024,Snake-Sahtaneh
48,BW052,Snake-Sahtaneh
49,BW053,Chinchaga
50,BW038,Clarke
111,W004R,Watchusk
210,W005R,Watchusk
310,W026D,Watchusk
410,W027D,Watchusk
57,W027D,Watchusk
61,W002D,Watapi
71,W020F,TRT
81,W022F,TRT
91,W003D,SWWinefred
101,W007D,SWWinefred
112,W015D,SWWinefred
121,W021F,SWWinefred
131,W023D,SWWinefred
141,W006F,SWBAU
151,W014D,SWBAU
161,W021D,SWBAU
171,W022D,SWBAU
182,W017D,Sucker
191,W019D,Sucker
201,W004F,SEBAU
211,W001C,Rat
221,W001R,Rat
231,W018F,Rat
241,W023F,Rat
251,W003R,Philomena
262,W012D,Philomena
271,W016D,Philomena
281,W030D,Philomena
291,W031D,Philomena
301,W032D,Philomena
311,W002R,NAT
321,W011D,NAT
331,W011F,NAT
341,W015F,NAT
351,W016F,NAT
361,W017F,NAT
371,W024F,NAT
381,W018D,Leismer
391,W020D,Leismer
401,W012F,EWinefredSOL
411,W004D,EWinefred
421,W005D,EWinefred
431,W010F,EWinefred
441,W013D,EWinefred
451,W013F,ETRT
461,W009D,Cowper
471,W010D,Cowper
481,W024D,Cowper
491,W025D,Cowper
501,W028D,Cowper
51,W029D,Cowper
52,W002C,Clyde
53,W006D,Clyde
54,W008D,Clyde
55,W033D,Clyde
56,W003F,Christina
113,13791,Ells
212,13790,Frostbite
312,13793,Clearwater
412,13792,Clearwater
58,13794,Clearwater
62,15007,NoPack
72,33677,Clearwater
82,15009,SAth
92,15008,Mckay
102,33678,Mckay
114,33670,Mckay
122,32268,Horzon
132,32269,Mckay
142,33669,Steepbank
152,33668,McLellan
162,32260,Clearwater
172,32262,McLellan
183,32264,North
192,32265,Horzon
202,32266,Ells
213,32267,SAth
222,35260,McLellan
232,15010,NoPack
242,33667,North
252,32261,Steepbank
263,33681,Frostbite
272,33680,GRapids
282,33671,Clearwater
292,32263,Clearwater
302,32251,McLellan
313,33679,North
322,32253,SAth
332,32252,Ells
342,32255,GRapids
352,32254,North
362,32257,North
372,32256,North
382,32259,Mckay
392,32258,Steepbank
402,33672,SAth
413,33673,Ells
422,33674,GRapids
432,33675,Frostbite
442,33676,McLellan
452,32270,GRapids
